선거구명,정당명,이름,성별,생년월일,직업,학력,경력,특표수
 남양주시을,통합민주당,박기춘(朴起春),남,1956/05/01(51세),국회의원,경희대학교 대학원 행정학과 박사과정 수료,(현)통합민주당 예산결산위원장(현)강원대·경복대 행정학과 초빙교수,34131(46.18)
 오산시,통합민주당,안민석(安敏錫),남,1966/08/13(41세),제17대 국회의원,미국 북콜로라도 주립대학원 교육학박사 ,(전)중앙대학교 교수(현)국회 교육위원회 위원,21415(47.87)
 화성시갑,한나라당,김성회(金成會),남,1956/09/05(51세),삼원토건주식회사 회장,경남대학교 대학원 졸업(정치학 박사),(현)한나라당 경기도당 통일안보위원장(현)예비역 육군대령,25808(46.31)
 화성시을,한나라당,박보환(朴普煥),남,1956/01/08(52세),정당인,건국대학교 행정대학원 수료,(전)한나라당 경기도당 사무처장(전)한나라당 재정경제 수석전문위원,27941(51.49)
 시흥시갑,통합민주당,백원우(白元宇),남,1966/05/02(41세),국회의원,고려대학교 신문방송학과 졸업,(전)故제정구 국회의원 비서(현)제17대 국회의원,30925(49.79)
 시흥시을,통합민주당,조정식(趙正湜),남,1963/12/25(44세),제 17대 국회의원,연세대학교 행정대학원 졸업(행정학 석사),(현)제17대 국회의원(전)국회 투자활성화 및 일자리창출을 위한 특별위원회 위원,23313(51.13)
 군포시,통합민주당,김부겸(金富謙),남,1958/01/21(50세),국회의원,서울대학교 정치학과 졸업,17대 국회의원통합민주당 공천심사위원,49638(50.82)
 하남시,통합민주당,문학진(文學振),남,1954/10/26(53세),국회의원,고려대학교 사학과 졸업,(전)17대 국회 건설교통위원(현)17대 국회 재정경제위원,22457(46.20)
 파주시,한나라당,황진하(黃震夏),남,1946/08/25(61세),국회의원,경남대학교 대학원(박사) 수료,(전)유엔군 사령관(현)제17대 국회의원,56983(58.98)
 이천시여주군,한나라당,이범관(李範觀),남,1943/08/04(64세),변호사,연세대학교 법학과 졸업,(전)한나라당 이명박대통령후보 상임특보(전)서울지검장,33605(33.14)
 용인시처인구,통합민주당,우제창(禹濟昌),남,1963/04/25(44세),국회의원,영국 옥스포드 대학교 중국경제학 박사,연세대학교 국제학대학원 교수국회재경위원회 예산·결산 소위원장,25754(39.08)
 용인시수지구,무소속,한선교(韓善敎),남,1959/06/23(48세),국회의원,성균관대학교 국가전략 대학원 졸업(정치학 석사),(전)한나라당 대변인(현)제17대 국회의원,44785(43.01)
 용인시기흥구,한나라당,박준선(朴俊宣),남,1966/06/23(41세),법무법인 홍윤 대표변호사,서울대학교 법과대학 사법학과 졸업,한나라당 클린정치위원회 법률지원단장대통령직인수위원회 법무검찰개혁T/F팀 위원,44672(47.59)
 안성시,한나라당,김학용(金學容),남,1961/12/10(46세),정당인,중앙대학교 경제학과 졸업,(전) 경기도의회 부의장(전) 제456대 경기도의회의원,30196(58.93)
 김포시,한나라당,유정복(劉正福),남,1957/06/16(50세),국회의원,서울대학교 행정대학원 졸업 (행정학석사),(전)김포군수·시장(현)제17대 국회의원,44551(65.58)
 광주시,한나라당,정진섭(鄭鎭燮),남,1952/04/16(55세),국회의원,서울대학교 법과대학 법학과 졸업,(현)제17대 국회의원(광주시)(현)한나라당대표 비서실장,40533(59.20)
 포천시연천군,한나라당,김영우(金榮宇),남,1967/01/20(41세),정당인,성균관대학교 국정관리대학원 박사과정 (수료),(전)YTN기자(전)제17대 대통령직 인수위원회 당선인비서실 정책기획부팀장,36886(49.68)
 양평군가평군,한나라당,정병국(鄭柄國),남,1958/02/10(50세),국회의원,성균관대 대학원 정치외교학과 박사과정 졸업(정치학박사),(현)한나라당 홍보기획본부장제1617대 국회의원,38393(65.04)
 춘천시,한나라당,허천(許천),남,1943/04/10(65세),국회의원,한림성심대학 행정과 졸업,(전)강원도의회 의장(현)한나라당 중앙위원회 수석부의장,41159(40.83)
 원주시,한나라당,이계진(李季振),남,1946/11/23(61세),국회의원,고려대학교 국문과 졸,제17대 국회의원(현)한나라당 대변인(전),62586(65.94)
 강릉시,무소속,최욱철(崔旭澈),남,1953/02/09(55세),강원미래연구소 이사장,경희대학교 경영대학원 졸업,제1415대 국회의원(주)강원랜드 상임감사,40842(48.39)
 동해시삼척시,무소속,최연희(崔鉛熙),남,1944/12/29(63세),국회의원,성균관대학교 대학원 졸업(법학박사),(전)한나라당 사무총장(전)국회 법제사법위원장,32729(46.95)
 속초시고성군양양군,무소속,송훈석(宋勳錫),남,1950/10/08(57세),변호사,고려대학교 행정학과 졸업,(전)춘천지방검찰청 속초지청장제15.16대 국회의원,24239(40.98)
 홍천군횡성군,한나라당,황영철(黃永哲),남,1965/07/13(42세),정당인,서울대학교 정치학과 졸업,전 강원도 정무 특별보좌관현 한나라당 홍천횡성군 당원협의회 운영위원장,26021(49.24)
 태백시영월군평창군정선군,통합민주당,이광재(李光宰),남,1965/02/28(43세),국회의원,연세대학교 법학과 졸업,(전)청와대 국정상황실장(현)제17대 국회의원,42321(54.57)
 철원군화천군양구군인제군,통합민주당,이용삼(李龍三),남,1957/09/12(50세),법무법인 대표변호사,강원대학교 대학원 법학과 법학박사,서울중앙지방검찰청 검사제141516대 국회의원,24587(45.00)
 청주시상당구,통합민주당,홍재형(洪在馨),남,1938/03/27(70세),국회의원,서울대학교 상과대학 상학과 졸업,(전)경제부총리겸 초대 재정경제원 장관제16·17대 국회의원,42823(51.67)
 청주시흥덕구갑,통합민주당,오제세(吳濟世),남,1949/04/05(59세),국회의원,서울대학교 환경대학원 환경계획학과 졸업,전 인천시행정부시장전 청주시 부시장,28600(43.38)
 청주시흥덕구을,통합민주당,노영민(盧英敏),남,1957/11/25(50세),국회의원,연세대학교 경영학과 졸업,(전)청주실업극복연대 대표(현)국회 산업자원위원회 위원,22175(37.46)
 충주시,통합민주당,이시종(李始鍾),남,1947/04/18(60세),국회의원,서울대학교 문리과대학 정치학과 졸업,민선123대 충주시장제17대 국회의원,39147(48.04)
 제천시단양군,한나라당,송광호(宋光浩),남,1942/05/10(65세),정당인,성균관대학교 경제학과 졸업,제1416대 국회의원한나라당 사무부총장,34340(53.23)
 청원군,통합민주당,변재일(卞在一),남,1948/09/02(59세),국회의원,미국 펜실베니아대학교 대학원 정치학과 2년 졸업(국제정치학 석사),(전)정보통신부차관(현)제17대 국회의원,24325(44.57)
 보은군옥천군영동군,자유선진당,이용희(李龍熙),남,1931/06/10(76세),정당인,대전사범학교 졸업,제9101217대 국회의원(현)국회부의장,30790(43.79)
 증평군진천군괴산군음성군,통합민주당,김종률(金鍾律),남,1962/12/25(45세),국회의원,서울대학교 대학원 법학과 졸업(법학석사),법무법인 춘추 대표변호사단국대학교 교수,32608(38.84)
 천안시갑,통합민주당,양승조(梁承晁),남,1959/03/21(49세),국회의원,성균관대학교 법학과 졸업,현) 제17대 국회의원현) 변호사,28774(38.26)
 천안시을,자유선진당,박상돈(朴商敦),남,1949/09/03(58세),국회의원,서울대학교 행정대학원 행정학과 졸업,전) 아산군수전) 대천(보령)시장,36949(42.80)
 공주시연기군,자유선진당,심대평(沈大平),남,1941/04/07(67세),국회의원,서울대학교 경제학과 졸,전 충남도지사현 국회의원,47937(63.32)
 보령시서천군,자유선진당,류근찬(柳根粲),남,1949/02/27(59세),국회의원,서울대학교 사범대학 졸업,전)KBS 9시뉴스 앵커 및 KBS 보도본부장17대 국회의원,35952(52.15)
 아산시,자유선진당,이명수(李明洙),남,1955/02/11(53세),나사렛대학교 부총장,성균관대학교 대학원졸업(행정학 박사),(전)충청남도 행정부지사(전)건양대학교 부총장,41011(53.09)
 서산시태안군,자유선진당,변웅전(邊雄田),남,1940/10/15(67세),정당인,중앙대학교 문리과대학 심리학과 졸업,(전)제15대 국회의원(전)제16대 국회의원,43093(51.65)
 논산시계룡시금산군,무소속,이인제(李仁濟),남,1948/12/11(59세),국회의원,서울대학교 법과대학 행정학과 졸업,(현)국회의원(4선)(전)경기도지사,23595(27.67)
 부여군청양군,자유선진당,이진삼(李鎭三),남,1937/02/10(71세),정당인,동국대학교 행정대학원 졸업(행정학 석사),육군참모총장체육청소년부 장관,28284(55.38)
 홍성군예산군,자유선진당,이회창(李會昌),남,1935/06/02(72세),정당인,서울대학교 법과대학 졸업,(전)국무총리(현)자유선진당 총재,49908(60.91)
 당진군,자유선진당,김낙성(金洛聖),남,1942/12/06(65세),국회의원,단국대학교 대학원 졸업(행정학 박사),(전)당진군수 민선1.2.3기(현)17대 국회의원,29275(58.26)
 전주시완산구갑,무소속,이무영(李茂永),남,1944/12/05(63세),정치인,동국대학교 행정대학원 졸업(행정학 석사),제54대 경찰청장전북지방경찰청장,29116(53.09)
 전주시완산구을,통합민주당,장세환(張世煥),남,1953/01/14(55세),정당인,전북대학교 법학과 졸업,한겨레신문 정치부장 대우전라북도 정무부지사,34580(65.30)
 전주시덕진구,통합민주당,김세웅(金世雄),남,1953/08/14(54세),정당인,한양대학교 행정대학원 졸업,(전)무주군수 3선,43409(49.12)
 군산시,통합민주당,강봉균(康奉均),남,1943/08/13(64세),국회의원,한양대학교 대학원 경제학과 졸업(경제학 박사),(전)정보통신부 장관(전)재정경제부 장관,49885(52.79)
 익산시갑,통합민주당,이춘석(李春錫),남,1963/03/07(45세),변호사,원광대학교 법학대학원 박사과정 수료,현)변호사현)원광대법대겸임교수,26610(57.34)
 익산시을,통합민주당,조배숙(趙培淑),여,1956/09/10(51세),국회의원,서울대학교 법학대학원 졸업,전)서울지방검찰청 검사현)국회문화관광위원회 위원장,28459(54.91)
 정읍시,무소속,유성엽(柳成葉),남,1960/01/25(48세),정치인,서울대학교 외교학과 졸업,전라북도 경제통상국장민선3기 정읍시장,33489(61.04)
 남원시순창군,통합민주당,이강래(李康來),남,1953/03/02(55세),국회의원,서울대학교 행정대학원졸업(행정학박사),제1617대 국회의원국회예산결산특별위원회위원장,30077(52.93)
 김제시완주군,통합민주당,최규성(崔圭成),남,1950/02/04(58세),국회의원,서울대학교 법과대학 법학과 졸업,(현)김제.완주 국회의원(전)열린우리당 전라북도당위원장,37166(53.69)
 진안군무주군장수군임실군,통합민주당,정세균(丁世均),남,1950/09/26(57세),국회의원,고려대학교 법과대학 법학과 졸업(법학사),(전)열린우리당 당의장(전)산업자원부 장관,35566(74.00)
 고창군부안군,통합민주당,김춘진(金椿鎭),남,1953/01/24(55세),국회의원,경희대학교 대학원 치의학 박사,국회 보건복지위원회 위원김대중 전 대통령 의료자문의,35662(77.42)
 목포시,무소속,박지원(朴智元),남,1942/06/05(65세),김대중평화센터 이사장 비서실장,단국대학교 상학과졸업,(전)대통령비서실장(전)문화관광부장관,45415(53.59)
 여수시갑,통합민주당,김성곤(金星坤),남,1952/11/06(55세),국회의원,미국 템플대학교 대학원졸업(철학박사),국립중앙청소년수련원장제1517대 국회의원(현 국회국방위원장),35597(81.18)
 여수시을,통합민주당,주승용(朱昇鎔),남,1952/07/27(55세),국회의원,고려대학교 경영대학원 졸업(경영학석사),민선 초대 통합여수시장17대 국회의원,42958(83.87)
 순천시,통합민주당,서갑원(徐甲源),남,1962/06/24(45세),국회의원,국민대학교 법학과대학원 박사 수료,(현)제17대 국회의원(전)청와대 의전.정무1비서관,65071(77.46)
 나주시화순군,통합민주당,최인기(崔仁基),남,1944/03/18(64세),국회의원,서울대학교 법과대학 행정학과 졸업,전라남도지사행정자치부장관,50502(74.15)
 광양시,통합민주당,우윤근(禹潤根),남,1957/09/24(50세),국회의원,국립 전남대학교 대학원 법학과 졸업(법학박사),변호사전남대학교 법학과 객원교수,27539(59.45)
 담양군곡성군구례군,통합민주당,김효석(金孝錫),남,1949/07/15(58세),국회의원,(미)조지아대학교 대학원 경영학 박사,제16ㆍ17대 국회의원통합민주당 원내대표,36143(76.82)
 고흥군보성군,통합민주당,박상천(朴相千),남,1938/10/31(69세),변호사,서울대학교 법과대학 법학과 졸업,현 통합민주당 공동대표전 법무부장관,36407(56.04)
 장흥군강진군영암군,통합민주당,유선호(柳宣浩),남,1953/09/27(54세),국회의원,서울대학교 법과대학원 졸업,제15. 17대 국회의원김대중대통령 정무수석,38087(67.66)
 해남군완도군진도군,무소속,김영록(金瑛錄),남,1955/02/17(53세),정치인,미국 시라큐스대 맥스웰대학원 행정학과 졸업(석사 수학기간2년),(전) 완도군수전라남도 행정부지사,36827(50.50)
 무안군신안군,무소속,이윤석(李潤錫),남,1960/03/16(48세),대학교 강사,경남대학교 대학원 정치외교학과 졸업,제567대 전라남도의회의원제7대 전라남도 의회의장,16200(30.89)
 함평군영광군장성군,통합민주당,이낙연(李洛淵),남,1952/12/20(55세),국회의원,서울대학교 법과대학 법학과 졸업,(현)국회의원(전)민주당 대변인,42950(67.94)
 포항시북구,한나라당,이병석(李秉錫),남,1952/10/28(55세),국회의원,고려대학교 대학원 졸업(정치학박사),(전)대통령정무비서관(1급)16 17대 국회의원,60610(62.64)
 포항시남구울릉군,한나라당,이상득(李相得),남,1935/11/29(72세),국회의원,서울대학교 상과대학 경제학과 졸업,(전)주식회사코오롱사장(현)국회부의장,68392(69.63)
 경주시,친박연대,김일윤(金一潤),남,1938/12/17(69세),육영사업,중앙대학교 대학원 경영학과(경영학박사) 졸업,(전)경주대학교 총장(전)4선 국회의원,50917(47.22)
 김천시,한나라당,이철우(李喆雨),남,1955/08/15(52세),정당인,연세대학교 행정대학원 졸업,경상북도 정무부지사대구·경북 한방산업진흥원 이사장,35933(53.37)
 안동시,무소속,김광림(金光琳),남,1948/04/28(59세),교수,경희대학교 대학원 졸업 (행정학 박사),(전) 재정경제부차관(전) 특허청장,39968(49.68)
 구미시갑,한나라당,김성조(金晟祚),남,1958/11/15(49세),국회의원,경북대학교 행정대학원 일반행정전공 졸업(행정학석사),(현)제17대 국회의원(전)한나라당 원내부총무,45035(73.69)
 구미시을,무소속,김태환(金泰煥),남,1943/09/24(64세),국회의원,연세대학교 정치외교학과 졸업,(전)금호피엔비화학 대표이사 사장(전)한나라당 제1사무부총장,33125(60.54)
 영주시,한나라당,장윤석(張倫碩),남,1950/01/05(58세),제17대 국회의원,서울대학교 법과대학 졸업,법무부 검찰국장(검사장)한나라당 인권위원장,27597(52.47)
 영천시,한나라당,정희수(鄭熙秀),남,1953/10/25(54세),국회의원,미국 일리노이대학교 대학원 경제학과 졸업(경제학 박사),(현) 제17대 국회의원 (건설교통위원회 위원)(전) 한나라당 원내부대표,32701(81.99)
 상주시,무소속,성윤환(成允煥),남,1956/08/29(51세),변호사,한양대학교 법정대학 법학과 졸업,(전)서울북부지검 부장검사(현)중앙대학교 교수,28016(51.92)
 문경시예천군,한나라당,이한성(李翰成),남,1957/04/05(51세),정당인,서울대학교 법과대학원 졸업(법학박사),대구지방검찰청 상주지청장창원지방검찰청 검사장,31397(48.46)
 경산시청도군,한나라당,최경환(崔炅煥),남,1955/02/27(53세),17대 국회의원,미국 위스콘신대 경제학과 대학원(박사과정) 졸업,(현)제17대 국회의원(전)대통령직 인수위원회 경제2분과 간사위원,74481(78.47)
 고령군성주군칠곡군,무소속,이인기(李仁基),남,1953/02/26(55세),국회의원,서울대학교 법과대학 법학과 졸업,제16대ㆍ제17대 국회의원변호사,39375(49.37)
 군위군의성군청송군,무소속,정해걸(丁海杰),남,1939/05/09(68세),무직,대구대학교사회복지개발대학원졸업(행정학석사),(전)민선123기의성군수(현)대통령자문국가균형발전위원회위원,31427(49.36)
 영양군영덕군봉화군울진군,한나라당,강석호(姜碩鎬),남,1955/12/03(52세),정치인,한국외국어대학교 서양어대학 스페인어과 졸업,한나라당경상북도당상임부위원장삼일그룹재단이사장,39344(50.41)
 창원시갑,한나라당,권경석(權炅錫),남,1946/01/02(62세),제17대 국회의원,동아대 대학원 졸업(행정학박사),(전)한나라당 경남도당위원장(전)경상남도 행정부지사,39621(49.89)
 창원시을,민주노동당,권영길(權永吉),남,1941/11/05(66세),국회의원,서울대학교 농과대학 잠사학과 졸업,(전)민주노동당 초대 당대표(전)창원시학교급식비지원조례제정운동본부  본부장,42809(48.20)
 마산시갑,한나라당,이주영(李柱榮),남,1951/09/30(56세),변호사,서울법대 법학과 졸업,제16.17대 국회의원(전)한나라당 정책위의장,47357(71.96)
 마산시을,한나라당,안홍준(安鴻俊),남,1951/03/02(57세),국회의원,경상대학교 대학원 의학과 졸업(의학박사),국회 환경노동위원회 간사한나라당 대외협력위원장,48795(64.14)
 진주시갑,무소속,최구식(崔球植),남,1960/10/11(47세),국회의원,서울대학교 사회과학대학 외교학과(정치학사),(전)조선일보 정치부 차장(전)한나라당 대선 공보지원단장,30723(44.65)
 진주시을,한나라당,김재경(金在庚),남,1961/10/10(46세),국회의원,경상대학교 법학과 졸업,국회의원경상대학교 총동문회장,35406(58.71)
 진해시,한나라당,김학송(金鶴松),남,1952/07/06(55세),제17대 국회의원,건국대학교 정치외교학과 졸업,제16 17대 국회의원한나라당 전략기획본부장(현),33119(62.21)
 통영시고성군,한나라당,이군현(李君賢),남,1952/03/12(56세),제17대 국회의원,캔자스주립대학교 교육행정학과졸업,(전)한국교원단체총연합회회장(현)제17대 국회의원,43305(56.47)
 사천시,민주노동당,강기갑(姜基甲),남,1953/06/07(54세),국회의원,사천농업고등학교(현 경남자영고)졸업,현)국회 농림해양수산위원회 위원현)국회 예결산특별위원회 위원,23864(47.69)
 김해시갑,한나라당,김정권(金正權),남,1960/01/12(48세),국회의원,인제대학교 경영대학원 졸업(경영학석사),(현) 제17대 국회의원(현) 한나라당 원내부대표,30320(50.85)
 김해시을,통합민주당,최철국(崔喆國),남,1952/12/30(55세),국회의원,서울대학교 법학과 졸업,(전)청와대 의전행정관(전)경상남도 문화관광국장,39439(47.76)
 밀양시창녕군,한나라당,조해진(曺海珍),남,1963/08/04(44세),정당인,서울대학교 대학원 법학과 졸업(법학석사),이명박 서울시장 비서관이명박 대통령 당선인 부대변인,32781(46.34)
 거제시,한나라당,윤영(尹英),남,1955/04/03(53세),정치인,영국버밍엄대학교 국제정치대학원졸업(국제정치학석사),(전)거제시부시장(전)경남도청경제통상국장,25722(38.63)
 의령군함안군합천군,한나라당,조진래(趙辰來),남,1965/11/20(42세),변호사,연세대 법학과 졸업,2007선진국민경남연대 상임대표한나라당이명박대통령예비후보 정책특별보좌역,31464(49.48)
 양산시,한나라당,허범도(許範道),남,1950/02/18(58세),정당인,부산대학교 상과대학 경영학과 졸업,부산지방중소기업청장산업자원부 차관보,26802(39.00)
 남해군하동군,한나라당,여상규(余尙奎),남,1948/09/15(59세),변호사,서울대학교 법학과 졸업,(전)서울지방법원 판사(전)서울고등법원 판사,34874(56.74)
 산청군함양군거창군,한나라당,신성범(愼聖範),남,1963/06/01(44세),정당인,서울대학교 인류학과 졸업,KBS보도본부정치부기자KBS모스크바특파원(지국장),34490(55.06)
 제주시갑,통합민주당,강창일(姜昌一),남,1952/01/28(56세),국회의원,동경대학 대학원 졸업(동양사학전공 문학박사수학기간:87.4.1~94.3.31),(전)배재대학교 일본학과교수(현)한일의원연맹 간사,32707(39.29)
 제주시을,통합민주당,김우남(金宇南),남,1955/05/23(52세),국회의원,경희대학교 대학원 경영학과 수료,(현)국회의원(현)국회 농림해양수산위원회 간사위원,30170(43.11)
 서귀포시,통합민주당,김재윤(金才允),남,1965/05/24(42세),국회의원,명지대학교 대학원 국어국문학과 졸업(문학박사),(현)제17대 국회의원(전)탐라대학교 교수,28855(43.53)
